tenantInstitutionId,tenantInstitutionName,sector,industry_group,industry,sub_industry
4225565,United Artists Theatre Co.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4236893,CSL Behring LLC,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology
4227565,OTB Acquisition LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4226850,Century 21 Department Stores LLC,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4226797,"Mission Produce, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Agricultural Products
4222404,The Children's Place Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4221467,Hilton Grand Vacations,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4252727,Goodwill Industries International Inc,Industrials,Commercial and Professional Services,Professional Services,Human Resource and Employment Services
4247514,Pittsburgh Glass Works LLC,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
4244289,Mercury Solar Systems,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering
4233908,Neuberger Berman Group LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4231688,Swatch Group Ltd.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4228661,Barneys New York Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4226924,Advance Auto Parts Inc.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
4220741,"Hematology-Oncology Associates Of Central New York, P.C.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4276690,LVMH Moët Hennessy Louis Vuitton SE,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4268632,New Jersey City University,,,,
4255323,DHL Express,,,,
4255137,BASF Americas Corp,,,,
4211750,"West Penn Allegheny Health System, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
4004214,Microsoft Corp.,Information Technology,Software and Services,Software,Systems Software
4047416,Sumitomo Corp.,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
4021861,Dun & Bradstreet Corp.,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4086353,First Data Corp.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
4096667,Google LLC,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services
4094061,Bankrate Inc.,Information Technology,Software and Services,Software,Application Software
113817,MUFG Bank Ltd.,Financials,Banks,Banks,Diversified Banks
4248534,Willis Towers Watson PLC,Financials,Insurance,Insurance,Insurance Brokers
4120665,Altaba Inc.,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
4021612,Interpublic Group of Cos. Inc.,Communication Services,Media and Entertainment,Media,Advertising
103324,Unum Group,Financials,Insurance,Insurance,Life and Health Insurance
4024401,DXC Technology Co.,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
4078030,Urstadt Biddle Properties Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
103455,Loews Corp.,Financials,Insurance,Insurance,Multi-line Insurance
100382,Wells Fargo & Co.,Financials,Banks,Banks,Diversified Banks
4054735,Caesars Entertainment Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Casinos and Gaming
100465,TrustCo Bank Corp NY,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
4086121,John Wiley & Sons Inc.,Communication Services,Media and Entertainment,Media,Publishing
102955,Starwood Hotels & Resorts Worldwide LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4121452,8x8 Inc.,Information Technology,Software and Services,Software,Application Software
4260029,Nielsen Holdings PLC,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4065098,Mitsubishi Corp.,Industrials,Capital Goods,Trading Companies and Distributors,Trading Companies and Distributors
4044840,Health Insurance Plan of Greater New York,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
14679,Bankers Life and Casualty Co.,Financials,Insurance,Insurance,Life and Health Insurance
4000468,Fidelity National Title Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
4087542,Midcontinent ISO,Utilities,Utilities,Electric Utilities,Electric Utilities
110227,Allstate Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
4250516,Joseph T. Ryerson & Son Inc.,Materials,Materials,Metals and Mining,Steel
4242637,Federal Bureau of Prisons,,,,
4240154,"Charlotte Russe Holding, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4234642,Nestlé USA Inc.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats
4231709,Untracht Early LLC,,,,
4230271,"Baymont Franchise Systems, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4228506,Salvatore Ferragamo S.p.A.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
1011995,Jonestown Bank & Trust Co.,Financials,Banks,Banks,Regional Banks
113901,Ameriprise Financial Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
1007166,Apple Bank for Savings,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
107668,Hudson Valley FCU,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
13091,Merchants Mutual Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
107519,Bethpage FCU,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
4073551,IOA Re Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
4073702,Mastercard Inc.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
4106225,PrimeLending a PlainsCapital Co.,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
4056622,Community Health Group,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
4093074,Fidelity National Information Services Inc.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
4109369,CenterSquare Investment Management Holdings Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4134721,CVC Credit Partners LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4226356,Industrial & Commercial Bank of China Ltd.,Financials,Banks,Banks,Diversified Banks
4307276,Yelp Inc.,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services
1015372,Sumitomo Mitsui Trust Bank (U.S.A.) Ltd,Financials,Banks,Banks,Diversified Banks
4132396,Healthcare Trust of America Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
13311,Nationwide Mutual Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
4206433,Draftfcb Inc.,Communication Services,Media and Entertainment,Media,Advertising
4205848,Salesforce.com Inc.,Information Technology,Software and Services,Software,Application Software
4204694,Roland Berger Strategy Consultants,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4202072,K&G Men's Co. Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4200517,RTW Retailwinds Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4200417,Dyson Ltd.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Household Appliances
4220057,Aloft Hotels,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4209981,Kate Spade LLC,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4206221,Domino's Pizza Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4202286,Stage Deli,,,,
100369,Bank of America Corp.,Financials,Banks,Banks,Diversified Banks
114532,Castle Harlan Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
100519,Toronto-Dominion Bank,Financials,Banks,Banks,Diversified Banks
4189101,American Eagle Outfitters Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4188703,U.S. Department of Labor,,,,
4227943,CARQUEST Corp.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
4168632,Jo-Ann Stores LLC,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
4067448,Carmike Cinemas Inc.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4094831,Iron Mountain Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
4053619,Nordstrom Inc.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4121716,ION Media Networks Inc.,Communication Services,Media and Entertainment,Media,Broadcasting
4122791,Blue Nile Inc.,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
4070013,Omnicom Group Inc.,Communication Services,Media and Entertainment,Media,Advertising
4239020,Ancestry.com LLC,Communication Services,Media and Entertainment,Interactive Media and Services,Interactive Media and Services
4163694,PCCW Ltd.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
4049266,D.R. Horton Inc.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Homebuilding
100144,Bank of New York Mellon Corp.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4206196,TiVo Corp.,Information Technology,Software and Services,Software,Systems Software
114523,Caterpillar Inc.,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks
100185,Community Bank System Inc.,Financials,Banks,Banks,Regional Banks
100253,M&T Bank Corp.,Financials,Banks,Banks,Regional Banks
4097432,New York Times Co.,Communication Services,Media and Entertainment,Media,Publishing
103386,RLI Corp.,Financials,Insurance,Insurance,Property and Casualty Insurance
4047176,U.S. Bancorp,Financials,Banks,Banks,Diversified Banks
4094404,Toll Brothers Inc.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Homebuilding
103025,UDR Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
103050,Vornado Realty Trust,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
4020393,ACE Cash Express Inc.,Financials,Diversified Financials,Consumer Finance,Consumer Finance
103084,Brookfield Property REIT Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
103145,AvalonBay Communities Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
103120,Macerich Co.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
113071,Jones Lang LaSalle Inc.,Real Estate,Real Estate,Real Estate Management and Development,Real Estate Services
112885,Boston Properties Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
4041896,Citigroup Inc.,Financials,Banks,Banks,Diversified Banks
4232408,Shoko Chukin Bank Ltd.,Financials,Banks,Banks,Diversified Banks
4048287,BlackRock Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
3007562,Exxon Mobil Corp.,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas
4057229,Verizon Communications Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
100201,JPMorgan Chase & Co.,Financials,Banks,Banks,Diversified Banks
14878,Combined Insurance Co. of America,Financials,Insurance,Insurance,Life and Health Insurance
4161877,Keane Inc.,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
1002733,TrustCo Bank,Financials,Banks,Banks,Regional Banks
4153706,Town Sports International,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities
4153474,DDB Worldwide Communications Group Inc.,Communication Services,Media and Entertainment,Media,Advertising
4153540,Pizza Hut LLC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4149049,AMC Networks Inc.,Communication Services,Media and Entertainment,Media,Broadcasting
12145,Continental Casualty Co. Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
4121664,Warner Music Group Corp.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4290308,Swiss Re AG,Financials,Insurance,Insurance,Reinsurance
4066630,Signature Bank,Financials,Banks,Banks,Regional Banks
4072932,Prudential Financial Inc.,Financials,Insurance,Insurance,Life and Health Insurance
103795,CitiMortgage Inc.,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
12320,Everest Reinsurance Co.,Financials,Insurance,Insurance,Reinsurance
4048646,Renaissance Technologies LLC,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4057004,Jersey Central Power & Light Co.,Utilities,Utilities,Electric Utilities,Electric Utilities
15044,AXA Equitable Life Insurance Co.,Financials,Insurance,Insurance,Life and Health Insurance
14083,Travelers Indemnity Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
16089,Reliance Standard Life Insurance Co.,Financials,Insurance,Insurance,Life and Health Insurance
1014071,PNC Bank NA,Financials,Banks,Banks,Diversified Banks
4217545,Cost Plus Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
4207406,Lewis Brisbois Bisgaard & Smith,Industrials,Commercial and Professional Services,Professional Services,Research and Consulting Services
4206347,CVS Pharmacy Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail
4220480,Hollister Co.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4213678,Punto Fa S.L.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4207746,Performance Food Group Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Distributors
4202229,"VF Outlet, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
4202114,Cracker Barrel Old Country Store Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4202062,Coca-Cola Co.,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks
4200090,Burger King Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants
4580133,Global Brands Group Holding Ltd.,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods"
4197034,Hackensack University Medical Center,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
3001792,Amazon.com Inc.,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail
100438,BB&T Corp.,Financials,Banks,Banks,Regional Banks
4094875,Regal Entertainment Group,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
4110499,RCN Corp.,Communication Services,Media and Entertainment,Media,Cable and Satellite
4057062,Sempra Energy,Utilities,Utilities,Multi-Utilities,Multi-Utilities
100168,Deutsche Bank Trust Corp.,Financials,Banks,Banks,Diversified Banks
4057180,Comcast Corp.,Communication Services,Media and Entertainment,Media,Cable and Satellite
4094305,Target Corp.,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
110230,Principal Financial Group Inc.,Financials,Insurance,Insurance,Life and Health Insurance
103417,Chubb Ltd.,Financials,Insurance,Insurance,Property and Casualty Insurance
4053645,MFA Financial Inc.,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
13959,State Farm Mutual Automobile Insurance Co.,Financials,Insurance,Insurance,Property and Casualty Insurance
4053920,AMC Entertainment Inc.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
100184,Commerce Bancshares Inc.,Financials,Banks,Banks,Regional Banks
4004341,EQT Corp.,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production
102894,Fannie Mae,Financials,Banks,Thrifts and Mortgage Finance,Thrifts and Mortgage Finance
4107950,Pinnacle Entertainment Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Casinos and Gaming
100386,Northern Trust Corp.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
4056944,FirstEnergy Corp.,Utilities,Utilities,Electric Utilities,Electric Utilities
102769,UBS Financial Services Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
103451,Selective Insurance Group Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
100486,Valley National Bancorp,Financials,Banks,Banks,Regional Banks
103044,SITE Centers Corp.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
100334,KeyCorp,Financials,Banks,Banks,Regional Banks
4108134,Penn National Gaming Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Casinos and Gaming
4144107,GEO Group Inc.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
4161348,SK Telecom Co. Ltd.,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
110235,Massachusetts Mutual Life Insurance Co.,Financials,Insurance,Insurance,Life and Health Insurance
4023623,S&P Global Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges and Data
4004205,Apple Inc.,Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals"
105402,E*TRADE Financial Corp.,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage
4060057,FMC Corp.,Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals
4019144,Hilton Worldwide Holdings Inc.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines"
4094637,Internap Corp.,Information Technology,Software and Services,IT Services,Internet Services and Infrastructure
103383,Progressive Corp.,Financials,Insurance,Insurance,Property and Casualty Insurance
4091145,T-Mobile US Inc.,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
110250,Union Labor Life Insurance Co. Inc.,Financials,Insurance,Insurance,Life and Health Insurance
4062146,Packaging Corp. of America,Materials,Materials,Containers and Packaging,Paper Packaging
4024242,AT&T Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
114527,General Electric Co.,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
4094401,NVR Inc.,Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Homebuilding
110248,New York Life Insurance Co.,Financials,Insurance,Insurance,Life and Health Insurance
4097175,Walt Disney Co.,Communication Services,Media and Entertainment,Entertainment,Movies and Entertainment
103330,American International Group Inc.,Financials,Insurance,Insurance,Multi-line Insurance
4044801,Archer-Daniels-Midland Co.,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Agricultural Products
100406,PNC Financial Services Group Inc.,Financials,Banks,Banks,Regional Banks
4062397,PPG Industries Inc.,Materials,Materials,Chemicals,Specialty Chemicals
3005566,Walmart Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers
4009384,U.S. Steel Corp.,Materials,Materials,Metals and Mining,Steel
4004104,Macy's Inc.,Consumer Discretionary,Retailing,Multiline Retail,Department Stores
4047873,FactSet Research Systems Inc.,Financials,Diversified Financials,Capital Markets,Financial Exchanges and Data
113641,PMA Cos. Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
113624,RAIT Financial Trust,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
1018438,Republic Bancorp Inc.,Financials,Banks,Banks,Regional Banks
4055530,Travelers Cos. Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
4021017,Aetna Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
3001689,BNP Paribas SA,Financials,Banks,Banks,Diversified Banks
